Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;1;0.44;0.30;0.22;Random Forest;no feature selection;no resample;35.00;47.00;188.00;31.00;0.43;0.53;0.72;0.30
BOOKKEEPER;2;0.55;0.26;0.18;Random Forest;no feature selection;no resample;42.00;56.00;306.00;35.00;0.43;0.55;0.79;0.35
BOOKKEEPER;3;0.69;0.22;0.27;Random Forest;no feature selection;no resample;30.00;26.00;296.00;88.00;0.54;0.25;0.81;0.21
BOOKKEEPER;4;0.76;0.24;0.32;Random Forest;no feature selection;no resample;75.00;29.00;274.00;68.00;0.72;0.52;0.84;0.46
BOOKKEEPER;5;0.81;0.26;0.32;Random Forest;no feature selection;no resample;77.00;26.00;282.00;67.00;0.75;0.53;0.87;0.49
BOOKKEEPER;6;0.77;0.27;0.08;Random Forest;no feature selection;no resample;37.00;159.00;477.00;16.00;0.19;0.70;0.76;0.20
BOOKKEEPER;7;0.81;0.22;0.04;Random Forest;no feature selection;no resample;12.00;39.00;624.00;18.00;0.24;0.40;0.87;0.26
BOOKKEEPER;8;0.84;0.19;0.07;Random Forest;no feature selection;no resample;12.00;8.00;642.00;34.00;0.60;0.26;0.82;0.34
BOOKKEEPER;9;0.93;0.17;0.09;Random Forest;no feature selection;no resample;12.00;30.00;278.00;17.00;0.29;0.41;0.80;0.26
MEAN;;;;;;;;36.89;46.67;374.11;41.56;0.46;0.46;0.81;0.32
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;no feature selection;Oversampling;36.00;70.00;165.00;30.00;0.34;0.55;0.69;0.20
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;no feature selection;Oversampling;50.00;102.00;260.00;27.00;0.33;0.65;0.76;0.27
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;no feature selection;Oversampling;69.00;56.00;266.00;49.00;0.55;0.58;0.80;0.40
BOOKKEEPER;4;0.83;0.50;0.32;Random Forest;no feature selection;Oversampling;96.00;51.00;252.00;47.00;0.65;0.67;0.81;0.50
BOOKKEEPER;5;0.86;0.50;0.32;Random Forest;no feature selection;Oversampling;92.00;59.00;249.00;52.00;0.61;0.64;0.83;0.44
BOOKKEEPER;6;0.83;0.50;0.08;Random Forest;no feature selection;Oversampling;41.00;210.00;426.00;12.00;0.16;0.77;0.73;0.16
BOOKKEEPER;7;0.87;0.50;0.04;Random Forest;no feature selection;Oversampling;19.00;60.00;603.00;11.00;0.24;0.63;0.84;0.31
BOOKKEEPER;8;0.90;0.50;0.07;Random Forest;no feature selection;Oversampling;21.00;33.00;617.00;25.00;0.39;0.46;0.81;0.38
BOOKKEEPER;9;0.96;0.50;0.09;Random Forest;no feature selection;Oversampling;14.00;50.00;258.00;15.00;0.22;0.48;0.78;0.21
MEAN;;;;;;;;48.67;76.78;344.00;29.78;0.39;0.60;0.78;0.32
;
BOOKKEEPER;1;0.33;0.50;0.22;Random Forest;no feature selection;Undersampling;39.00;75.00;160.00;27.00;0.34;0.59;0.72;0.22
BOOKKEEPER;2;0.39;0.50;0.18;Random Forest;no feature selection;Undersampling;55.00;132.00;230.00;22.00;0.29;0.71;0.76;0.22
BOOKKEEPER;3;0.50;0.50;0.27;Random Forest;no feature selection;Undersampling;102.00;125.00;197.00;16.00;0.45;0.86;0.73;0.37
BOOKKEEPER;4;0.60;0.50;0.32;Random Forest;no feature selection;Undersampling;107.00;64.00;239.00;36.00;0.63;0.75;0.84;0.51
BOOKKEEPER;5;0.68;0.50;0.32;Random Forest;no feature selection;Undersampling;113.00;85.00;223.00;31.00;0.57;0.78;0.84;0.46
BOOKKEEPER;6;0.64;0.50;0.08;Random Forest;no feature selection;Undersampling;44.00;281.00;355.00;9.00;0.14;0.83;0.73;0.12
BOOKKEEPER;7;0.66;0.50;0.04;Random Forest;no feature selection;Undersampling;17.00;87.00;576.00;13.00;0.16;0.57;0.85;0.20
BOOKKEEPER;8;0.67;0.50;0.07;Random Forest;no feature selection;Undersampling;30.00;54.00;596.00;16.00;0.36;0.65;0.85;0.41
BOOKKEEPER;9;0.82;0.50;0.09;Random Forest;no feature selection;Undersampling;22.00;76.00;232.00;7.00;0.22;0.76;0.81;0.25
MEAN;;;;;;;;58.78;108.78;312.00;19.67;0.35;0.72;0.79;0.31
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;no feature selection;Smote;37.00;57.00;178.00;29.00;0.39;0.56;0.69;0.28
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;no feature selection;Smote;51.00;86.00;276.00;26.00;0.37;0.66;0.78;0.33
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;no feature selection;Smote;58.00;85.00;237.00;60.00;0.41;0.49;0.72;0.21
BOOKKEEPER;4;0.83;0.50;0.32;Random Forest;no feature selection;Smote;86.00;42.00;261.00;57.00;0.67;0.60;0.83;0.48
BOOKKEEPER;5;0.86;0.50;0.32;Random Forest;no feature selection;Smote;91.00;39.00;269.00;53.00;0.70;0.63;0.86;0.52
BOOKKEEPER;6;0.83;0.50;0.08;Random Forest;no feature selection;Smote;42.00;200.00;436.00;11.00;0.17;0.79;0.75;0.18
