Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;1;0.44;0.30;0.22;Random Forest;no feature selection;no sensitive;no resample;17.00;3.00;232.00;49.00;0.85;0.26;0.72;0.33
BOOKKEEPER;2;0.55;0.26;0.18;Random Forest;no feature selection;no sensitive;no resample;3.00;3.00;359.00;74.00;0.50;0.04;0.75;0.05
BOOKKEEPER;3;0.69;0.22;0.27;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;322.00;118.00;0.00;0.00;0.00;0.00
BOOKKEEPER;4;0.76;0.24;0.46;Random Forest;no feature selection;no sensitive;no resample;127.00;2.00;239.00;78.00;0.98;0.62;0.87;0.63
BOOKKEEPER;5;0.81;0.29;0.46;Random Forest;no feature selection;no sensitive;no resample;188.00;1.00;243.00;20.00;0.99;0.90;0.99;0.91
BOOKKEEPER;6;0.77;0.32;0.10;Random Forest;no feature selection;no sensitive;no resample;50.00;158.00;459.00;22.00;0.24;0.69;0.76;0.24
BOOKKEEPER;7;0.81;0.27;0.08;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;640.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.84;0.24;0.09;Random Forest;no feature selection;no sensitive;no resample;43.00;104.00;526.00;23.00;0.29;0.65;0.82;0.31
BOOKKEEPER;9;0.93;0.21;0.09;Random Forest;no feature selection;no sensitive;no resample;2.00;4.00;304.00;27.00;0.33;0.07;0.82;0.09
MEAN;;;;;;;;47.78;30.56;369.33;51.56;0.47;0.36;0.64;0.28
;
BOOKKEEPER;1;0.44;0.30;0.22;Random Forest;no feature selection;threshold;no resample;20.00;11.00;224.00;46.00;0.65;0.30;0.63;0.32
BOOKKEEPER;2;0.55;0.26;0.18;Random Forest;no feature selection;threshold;no resample;3.00;3.00;359.00;74.00;0.50;0.04;0.52;0.05
BOOKKEEPER;3;0.69;0.22;0.27;Random Forest;no feature selection;threshold;no resample;0.00;0.00;322.00;118.00;0.00;0.00;0.00;0.00
BOOKKEEPER;4;0.76;0.24;0.46;Random Forest;no feature selection;threshold;no resample;85.00;1.00;240.00;120.00;0.99;0.41;0.71;0.43
BOOKKEEPER;5;0.81;0.29;0.46;Random Forest;no feature selection;threshold;no resample;184.00;4.00;240.00;24.00;0.98;0.88;0.93;0.87
BOOKKEEPER;6;0.77;0.32;0.10;Random Forest;no feature selection;threshold;no resample;47.00;148.00;469.00;25.00;0.24;0.65;0.71;0.24
BOOKKEEPER;7;0.81;0.27;0.08;Random Forest;no feature selection;threshold;no resample;0.00;4.00;636.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.84;0.24;0.09;Random Forest;no feature selection;threshold;no resample;19.00;12.00;618.00;47.00;0.61;0.29;0.63;0.35
BOOKKEEPER;9;0.93;0.21;0.09;Random Forest;no feature selection;threshold;no resample;0.00;1.00;307.00;29.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;39.78;20.44;379.44;59.56;0.44;0.29;0.46;0.25
;
