Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;1;0.50;0.00;0.00;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;no feature selection;no sensitive;no resample;1.00;0.00;547.00;1.00;1.00;0.50;1.00;0.67
SYNCOPE;3;0.75;0.00;0.00;Random Forest;no feature selection;no sensitive;no resample;1.00;1.00;547.00;1.00;0.50;0.50;1.00;0.50
SYNCOPE;4;0.80;0.00;0.01;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.00;0.13;Random Forest;no feature selection;no sensitive;no resample;1.00;0.00;480.00;71.00;1.00;0.01;0.65;0.02
SYNCOPE;6;0.86;0.03;0.07;Random Forest;no feature selection;no sensitive;no resample;7.00;23.00;497.00;32.00;0.23;0.18;0.74;0.15
SYNCOPE;7;0.87;0.03;0.07;Random Forest;no feature selection;no sensitive;no resample;2.00;2.00;518.00;37.00;0.50;0.05;0.80;0.08
SYNCOPE;8;0.86;0.04;0.04;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.90;0.04;0.05;Random Forest;no feature selection;no sensitive;no resample;2.00;0.00;532.00;24.00;1.00;0.08;0.82;0.14
SYNCOPE;10;0.89;0.04;0.04;Random Forest;no feature selection;no sensitive;no resample;4.00;0.00;706.00;26.00;1.00;0.13;0.74;0.23
SYNCOPE;11;0.90;0.04;0.04;Random Forest;no feature selection;no sensitive;no resample;0.00;1.00;711.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.04;0.48;Random Forest;no feature selection;no sensitive;no resample;9.00;0.00;389.00;345.00;1.00;0.03;0.58;0.03
SYNCOPE;13;0.91;0.08;0.62;Random Forest;no feature selection;no sensitive;no resample;116.00;1.00;282.00;349.00;0.99;0.25;0.84;0.20
SYNCOPE;14;0.92;0.13;0.70;Random Forest;no feature selection;no sensitive;no resample;477.00;53.00;174.00;57.00;0.90;0.89;0.92;0.66
SYNCOPE;15;0.93;0.17;0.04;Random Forest;no feature selection;no sensitive;no resample;32.00;530.00;199.00;0.00;0.06;1.00;0.73;0.03
SYNCOPE;16;0.95;0.16;0.03;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.93;0.16;0.72;Random Forest;no feature selection;no sensitive;no resample;3.00;1.00;213.00;546.00;0.75;0.01;0.64;0.00
SYNCOPE;18;0.94;0.19;0.62;Random Forest;no feature selection;no sensitive;no resample;2.00;33.00;260.00;468.00;0.06;0.00;0.50;-0.08
SYNCOPE;19;0.93;0.22;0.81;Random Forest;no feature selection;no sensitive;no resample;466.00;3.00;166.00;238.00;0.99;0.66;0.91;0.42
SYNCOPE;20;0.94;0.26;0.82;Random Forest;no feature selection;no sensitive;no resample;717.00;17.00;148.00;11.00;0.98;0.98;0.95;0.89
SYNCOPE;21;0.94;0.29;0.13;Random Forest;no feature selection;no sensitive;no resample;92.00;648.00;132.00;27.00;0.12;0.77;0.53;-0.02
SYNCOPE;22;0.94;0.28;0.99;Random Forest;no feature selection;no sensitive;no resample;13.00;9.00;4.00;876.00;0.59;0.01;0.01;-0.02
SYNCOPE;23;0.95;0.32;0.99;Random Forest;no feature selection;no sensitive;no resample;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;24;0.95;0.36;1.00;Random Forest;no feature selection;no sensitive;no resample;907.00;2.00;2.00;0.00;1.00;1.00;1.00;0.67
SYNCOPE;25;0.95;0.39;0.03;Random Forest;no feature selection;no sensitive;no resample;22.00;888.00;1.00;1.00;0.02;0.96;0.70;-0.00
SYNCOPE;26;0.93;0.37;0.01;Random Forest;no feature selection;no sensitive;no resample;3.00;303.00;1122.00;10.00;0.01;0.23;0.58;0.00
SYNCOPE;27;0.93;0.35;0.01;Random Forest;no feature selection;no sensitive;no resample;0.00;6.00;1563.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.93;0.32;0.01;Random Forest;no feature selection;no sensitive;no resample;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.93;0.30;0.07;Random Forest;no feature selection;no sensitive;no resample;1.00;1.00;1592.00;117.00;0.50;0.01;0.62;0.01
SYNCOPE;30;0.93;0.29;0.01;Random Forest;no feature selection;no sensitive;no resample;9.00;669.00;1068.00;5.00;0.01;0.64;0.70;0.01
MEAN;;;;;;;;;125.90;106.37;528.67;112.00;0.47;0.33;0.57;0.17
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.50;0.00;0.00;Random Forest;no feature selection;threshold;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;no feature selection;threshold;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Random Forest;no feature selection;threshold;no resample;0.00;0.00;548.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.00;0.01;Random Forest;no feature selection;threshold;no resample;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.00;0.13;Random Forest;no feature selection;threshold;no resample;0.00;0.00;480.00;72.00;0.00;0.00;0.00;0.00
SYNCOPE;6;0.86;0.03;0.07;Random Forest;no feature selection;threshold;no resample;0.00;0.00;520.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;7;0.87;0.03;0.07;Random Forest;no feature selection;threshold;no resample;0.00;0.00;520.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;8;0.86;0.04;0.04;Random Forest;no feature selection;threshold;no resample;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.90;0.04;0.05;Random Forest;no feature selection;threshold;no resample;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
