Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;1;0.50;0.00;0.00;Random Forest;no feature selection;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;no feature selection;no resample;1.00;0.00;548.00;0.00;1.00;1.00;1.00;1.00
SYNCOPE;3;0.75;0.00;0.00;Random Forest;no feature selection;no resample;1.00;1.00;548.00;0.00;0.50;1.00;1.00;0.67
SYNCOPE;4;0.80;0.00;0.01;Random Forest;no feature selection;no resample;0.00;0.00;546.00;4.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.00;0.13;Random Forest;no feature selection;no resample;1.00;0.00;481.00;70.00;1.00;0.01;0.64;0.02
SYNCOPE;6;0.86;0.02;0.07;Random Forest;no feature selection;no resample;8.00;23.00;498.00;30.00;0.26;0.21;0.75;0.18
SYNCOPE;7;0.87;0.03;0.07;Random Forest;no feature selection;no resample;1.00;2.00;519.00;37.00;0.33;0.03;0.81;0.04
SYNCOPE;8;0.86;0.04;0.04;Random Forest;no feature selection;no resample;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.90;0.04;0.04;Random Forest;no feature selection;no resample;1.00;2.00;531.00;24.00;0.33;0.04;0.82;0.06
SYNCOPE;10;0.89;0.04;0.04;Random Forest;no feature selection;no resample;3.00;0.00;706.00;27.00;1.00;0.10;0.75;0.18
SYNCOPE;11;0.90;0.04;0.04;Random Forest;no feature selection;no resample;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.04;0.45;Random Forest;no feature selection;no resample;1.00;0.00;408.00;334.00;1.00;0.00;0.56;0.00
SYNCOPE;13;0.91;0.08;0.60;Random Forest;no feature selection;no resample;162.00;1.00;296.00;289.00;0.99;0.36;0.83;0.31
SYNCOPE;14;0.92;0.12;0.64;Random Forest;no feature selection;no resample;437.00;69.00;203.00;52.00;0.86;0.89;0.90;0.65
SYNCOPE;15;0.93;0.16;0.04;Random Forest;no feature selection;no resample;31.00;490.00;240.00;0.00;0.06;1.00;0.76;0.04
SYNCOPE;16;0.95;0.15;0.03;Random Forest;no feature selection;no resample;0.00;1.00;545.00;14.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.93;0.15;0.64;Random Forest;no feature selection;no resample;0.00;0.00;272.00;491.00;0.00;0.00;0.00;0.00
